4eba;852;;;;;;;;;;;;;;
4e0d;634;;;;;;;;;;;;;17082;Total
6708;602;;26986;Total;;;;;;;;;;208,3170732;Mean
4e4b;572;;45,27852349;Mean;;;;;;;;;;151,5;Median
4e2d;558;;15;Median;;;;;;;;;;143,2488018;STD.S
5929;449;;86,21148284;STD.S;;;;;;;;;;;
751f;429;;;;;;;;;;;;;;
5341;421;;;;;;;;;;;;;;
65e5;411;;;;;;;;;;;;;;
5b50;380;;;;;;;;;;;;;;
5973;342;;;;;;;;;;;;;;
800c;332;;;;;;;;;;;;;;
6709;328;;;;;;;;;;;;;;
82b1;312;;;;;;;;;;;;;;
4f86;284;;;;;;;;;;;;;;
8a69;284;;;;;;;;;;;;;;
4E0A;281;;;;;;;;;;;;;;
6b64;265;;;;;;;;;;;;;;
4e0b;262;;;;;;;;;;;;;;
79cb;254;;25999;Total;;;;;;;;;;;
4f5c;245;;72,42061281;Mean;;;;;;;;;;;
5927;245;;33;Median;;;;;;;;;;;
592B;240;;102,4259576;STD.S;;;;;;;;;;;
5176;219;;;;;;;;;;;;;;
6c34;218;;;;;;;;;;;;;;
76f8;201;;;;;;;;;;;;;;
5e72;195;;;;;;;;;;;;;;
5BB6;183;;;;;;;;;;;;;;
53E4;175;;;;;;;;;;;;;;
540D;172;;;;;;;;;;;;;;
5e74;166;;;;;;;;;;;;;;
4f55;165;;;;;;;;;;;;;;
4ea6;163;;;;;;;;;;;;;;
53bb;163;;;;;;;;;;;;;;
58EB;163;;;;;;;;;;;;;;
7a7a;161;;;;;;;;;;;;;;
4eca;160;;;;;;;;;;;;;;
96f2;160;;;;;;;;;;;;;;
5982;158;;;;;;;;;;;;;;
540C;155;;;;;;;;;;;;;;
6240;152;;;;;;;;;;;;;;
5149;151;;;;;;;;;;;;;;
53ef;147;;;;;;;;;;;;;;
660e;145;;;;;;;;;;;;;;
53e5;142;;;;;;;;;;;;;;
65B0;142;;;;;;;;;;;;;;
51fa;141;;;;;;;;;;;;;;
7528;137;;;;;;;;;;;;;;
884C;137;;;;;;;;;;;;;;
91d1;137;;;;;;;;;;;;;;
77f3;131;;;;;;;;;;;;;;
9577;131;;;;;;;;;;;;;;
591c;130;;;;;;;;;;;;;;
679d;130;;;;;;;;;;;;;;
4E16;128;;;;;;;;;;;;;;
6211;127;;;;;;;;;;;;;;
7121;127;;;;;;;;;;;;;;
6642;125;;;;;;;;;;;;;;
9999;125;;;;;;;;;;;;;;
592a;124;;;;;;;;;;;;;;
98a8;119;;;;;;;;;;;;;;
5148;118;;;;;;;;;;;;;;
7559;118;;;;;;;;;;;;;;
4E09;116;;;;;;;;;;;;;;
591a;115;;;;;;;;;;;;;;
7389;115;;;;;;;;;;;;;;
8207;113;;;;;;;;;;;;;;
53c8;112;;;;;;;;;;;;;;
6797;112;;;;;;;;;;;;;;
4e5f;110;;;;;;;;;;;;;;
53d6;109;;;;;;;;;;;;;;
5728;109;;;;;;;;;;;;;;
6771;109;;;;;;;;;;;;;;
5750;107;;;;;;;;;;;;;;
5C3A;107;;;;;;;;;;;;;;
5730;105;;;;;;;;;;;;;;
6bcd;105;;;;;;;;;;;;;;
9996;105;;;;;;;;;;;;;;
5C71;104;;;;;;;;;;;;;;
6728;103;;;;;;;;;;;;;;
81ea;102;;;;;;;;;;;;;;
