XA1, XA2, YA1, YA2, UTFA, FILENAME, XB1, XB2, YB1, YB2, IoU, 
1014, 1088, 149, 263, 800c, navis-Ming-Qing_18341_0004-line-001-y1=0-y2=289.xml, 1016, 1085, 172, 260, 0.719772403983, 
743, 827, 30, 123, 543e, navis-Ming-Qing_18341_0004-line-002-y1=280-y2=430.xml, 746, 824, 31, 120, 0.888632872504, 
1868, 1944, 47, 100, 53E4, navis-Ming-Qing_18341_0004-line-002-y1=280-y2=430.xml, 1871, 1941, 47, 97, 0.868917576961, 
1350, 1418, 17, 125, 751f, navis-Ming-Qing_18341_0004-line-003-y1=421-y2=571.xml, 1352, 1416, 41, 122, 0.705882352941, 
401, 477, 35, 124, 540D, navis-Ming-Qing_18341_0004-line-003-y1=421-y2=571.xml, 403, 474, 36, 121, 0.892223536369, 
486, 553, 31, 119, 58EB, navis-Ming-Qing_18341_0004-line-003-y1=421-y2=571.xml, 489, 550, 32, 116, 0.869063772049, 
1183, 1264, 25, 134, 59d1, navis-Ming-Qing_18341_0004-line-005-y1=701-y2=852.xml, 1185, 1260, 25, 137, 0.902915838304, 
989, 1072, 21, 112, 53f2, navis-Ming-Qing_18341_0004-line-007-y1=984-y2=1129.xml, 991, 1070, 22, 109, 0.909969548524, 
1076, 1156, 30, 116, 5b50, navis-Ming-Qing_18341_0004-line-007-y1=984-y2=1129.xml, 1078, 1153, 31, 114, 0.904796511628, 
310, 375, 21, 108, 800c, navis-Ming-Qing_18341_0004-line-007-y1=984-y2=1129.xml, 312, 385, 22, 105, 0.80632228219, 
548, 625, 29, 123, 59d1, navis-Ming-Qing_18341_0004-line-008-y1=1120-y2=1268.xml, 550, 622, 30, 121, 0.905222437137, 
898, 977, 30, 128, 59d1, navis-Ming-Qing_18341_0004-line-008-y1=1120-y2=1268.xml, 901, 974, 31, 126, 0.895763368639, 
296, 382, 43, 112, 6708, navis-Ming-Qing_18341_0004-line-008-y1=1120-y2=1268.xml, 299, 378, 44, 105, 0.812099764071, 
1864, 1937, 46, 131, 5341, navis-Ming-Qing_18341_0004-line-008-y1=1120-y2=1268.xml, 1866, 1934, 47, 138, 0.854961832061, 
1592, 1676, 32, 142, 5f8c, navis-Ming-Qing_18341_0004-line-009-y1=1259-y2=1499.xml, 1595, 1673, 33, 141, 0.911688311688, 
1681, 1763, 58, 121, 51fa, navis-Ming-Qing_18341_0004-line-009-y1=1259-y2=1499.xml, 1683, 1760, 59, 118, 0.879403794038, 
375, 464, 18, 121, 672a, navis-Ming-Qing_18341_0004-line-009-y1=1259-y2=1499.xml, 377, 460, 19, 117, 0.887313188611, 
279, 356, 57, 125, 751f, navis-Ming-Qing_18341_0005-line-001-y1=0-y2=142.xml, 282, 355, 58, 127, 0.908769973987, 
